State,Population
Massachusetts,7029917
Connecticut,3605944
New Hampshire,1377529
Maine,1362359
Rhode Island,1097379
Vermont,643077
New England,15116205
New York,20201249
Pennsylvania,13002700
New Jersey,9288994
Mid-Atlantic,42492943
Northeast,57609148
Florida,21538187
Georgia,10711908
North Carolina,10439388
Virginia,8631393
Maryland,6177224
South Carolina,5118425
West Virginia,1793716
Delaware,989948
District of Columbia,689545
South Atlantic,66089734
Tennessee,6910840
Alabama,5024279
Kentucky,4505836
Mississippi,2961279
East South Central,19402234
Texas,29145505
Louisiana,4657757
Oklahoma,3959353
Arkansas,3011524
West South Central,40774139
South,126266107
Illinois,12812508
Ohio,11799448
Michigan,10077331
Indiana,6785528
Wisconsin,5893718
East North Central,47368533
Missouri,6154913
Minnesota,5706494
Iowa,3190369
Kansas,2937880
Nebraska,1961504
South Dakota,886667
North Dakota,779094
West North Central,21616921
Midwest,68985454
Arizona,7151502
Colorado,5773714
Utah,3271616
Nevada,3104614
New Mexico,2117522
Idaho,1839106
Montana,1084225
Wyoming,576851
Mountain,24919150
California,39538223
Washington,7705281
Oregon,4237256
Hawaii,1455271
Alaska,733391
Pacific,53669422
West,78588572
50 states and District of Columbia,331449281
Puerto Rico,3285874
Guam,153836
U.S. Virgin Islands,87146
American Samoa,49710
Northern Mariana Islands,47329
U.S. Minor Outlying Islands,N/A
Island Areas (Territories),3623895
